H14,Champagne,1928,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",sbw,Romt,,,W(Eliot Stannard) B(Walter Mycroft) C(J.Cox),|
H15,Harmony Heaven,1929,Hitchcock,PN:,"SBIP, SD:France-Societ\'e des Cin\'e-Romans",col,Susp,H,,"CoD(Thomas Bentley) W(Arthur Wimperis, Randall Faye) M(Eddie Pola, Edward Brandt)) C(J.Cox)",|
H16,The Manxman,1929,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",sbw,Susp,H,"csd, Scotland",B(Hall Caine) W(Eliot Stannard) C(J.Cox),|
H17,Blackmail,1929,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",bnw,Susp,,"British Museum, London, England","Nt(first sound, added) W(Hitchcock, Benn W. Levy, Charles Bennett) C(J.Cox) Seen(9Apr1990)",|
H18,Elstree Calling,1929,none,PN:,SBIP Elstree,bnw,Musc,,studio,"CoD(Brunel(supervisor), Hitchcock, Andr\'e Charlot, Jack Hulbert, Paul Murray) W(Ivor Novello)",|
H19,Juno And The Paycock,1930,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",bnw,Susp,H*,"Dublin, Ireland","B(Sean O'Casey) W(Hitchcock, Alma Reville) C(J.Cox)",|
H20,Murder!,1930,Hitchcock,"P:J.Maxwell, Alfred Abel: German version","SBIP Elstree, SD:Wardour",bnw,Myst,H**,"theater, London, England","W(Hitchcock and Alma Reville) B(Clarence Dane, Helen Simpson: Enter Sir John) V(Winifred Ashton) C(J.Cox) Seen(10Apr1990) Er(V)",|
H21,The Skin Game,1931,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",bnw,Dram,aw,lc,"B(John Galsworthy) W(Hitchcock, Alma Reville) C(J.Cox, Charles Martin) Er(C)",|
H22,Rich and Strange,1932,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",bnw,Susp,,"London, England; Pars, France; Marseille, France; Singapore; ship, Pacific","W(Alma Reville, Val Valentine) B(Dale Collins) C(J.Cox, Charles Martin) Er(C) Seen(16Apr1990) Alt(East of Shanghai; USA)",|
H23,Number Seventeen,1932,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",bnw,Myst,H*,"London, England; train, England; Dover, England","B(Jefferson Farejon) W(Jefferson Farejon, Rodney Auckland) C(J.Cox) Seen(16Apr1990) Er(W)",|
H24,Lord Camber's Ladies,1932,Hitchcok,Hitchcock,"SBIP Elstree, SD:Wardour",bnw,Susp,,"castle, England","W(Hitchcock,,Jefferson Farejon) B(H.A. Vachell: The Case of Lady Camber) CoD(Benn~Levy)",|
H25,Waltzes From Vienna,1933,Hitchcock,PN:Tom Arnold,"SLime Grove, SD:G.F.D.",bnw,"Romt,Comd",H,"Vienna, Austria","Nt(least favorite of Hitchcock) M{Johann Strauss~sr., Johann Strauss~jr. W(Alma Reveille, Bolton) Alt(Strauss's Great Waltz; USA)",|
H26,The Man Who Knew Too Much,1934,Hitchcock,"P:Balcon, Montagu","SGaumont Lime Grove, SD:G.F.D.",bnw,Susp,H***,"St.Moritz, Switzerland; London, England","B(D.B. Wyndham-Lewis, Edwin Greenwood) W(A.R.Rawlinson, Charles Bennett, D.B. Wyndham-Lewis, Edwin Greenwood) M(Arthur Benjamin, Louis~Levy) C(Curt Courant)",|
H27,The 39 Steps,1935,Hitchcock,"P:Balcon, Montagu","SGaumont Lime Grove, SD:G.F.D.",bnw,Susp,H****,"theater, London, England","W(Charles Bennett, Alma Reveille) M(Louis Levy) B(John Buchan) C(Bernard Knowles)|"
H28,Secret Agent,1936,Hitchcock,"P:Balcon, Montagu","SGaumont Lime Grove, SD:G.F.D.",bnw,Susp,,"London, England; chocolate afctory, Switzerland","B(S.Maugham: Ashenden) W(Charles Bennett, Campbell Dixon) C(Bernard Knowles) Er(W)",|
H29,Sabotage,1936,Hitchcock,"P:Balcon, Montague","SLime Grove, SD:G.F.D.",bnw,Susp,H***,"theater, London, England",B(Conrad: The Secret Agent) W(Charles Bennett) C(Bernard Knowles) Alt(The Woman Alone; USA),|
H30,Young and Innocent,1938,Hitchcock,Black,"SLime Grove and Pinewood, SD:G.F.D.",bnw,Susp,,,"B(Josephine Tey) C(Bernard Knowles) W(Charles Bennett, Alma Reveille) Alt(The Girl Was Young; USA)",|
H31,The Lady Vanishes,1938,Hitchcock,Black,"SLime Grove Gainsborough, SD:MGM",bnw,Susp,,train; Austria,"B(Ethel Lina White: `The Wheel Spins') C(J.Cox) W(Gilliat, Launder) Seen(11Jul1988) W(Charles Bennett)",|
H32,Jamaica Inn,1939,Hitchcock,"P:Pommer, Laughton","SElstree, SD:Associated British, Paramount",bnw,Dram,W50,"seashore, Cornwall, England","C(Bernard Knowles, Harry Stradling) Er(C)",|
H33,Rebecca,1940,Hitchcock,Selznick,"SSelznick, SD:U.A.",bnw,Dram,"AA, AAN dir, H****","castle, England","C(George~Barnes; AA) W(Robert E. Sherwood, J.Harrison; AAN) B(Daphne duMaurier) M(Waxman; AAN) Seen(1989) VT(N:HT5) V(Lyle~Wheeler)",|
H34,Foreign Correspondent,1940,Hitchcock,Wanger,SU.A.,bnw,Susp,"H****, AAN","London, England; flying boat, Atlantic; T(1940)","W(Charles Bennett, J.Harrison, James Hilton, Robert Benchley; AAN) B(Vincent Sheehan: `Personal History') C(Mate; AAN) Seen(3Jan1991) VT(N:HT1)",|
H35,Mr.~and Mrs.~Smith,1941,Hitchcock,Eddington,SRKO,bnw,Romt,,"NYC, NY",Seen(23Oct1988) VT(N:HT4) C(Harry Stradling) V(Polglase?),|
H36,Suspicion,1941,Hitchcock,"P:Raphaelson, Hitchcock",SRKO,"bnw,cld",Susp,,"mansion, England",C(Harry Stradling) B(Francis Iles) Prof(440K),|
H37,Saboteur,1942,Hitchcock,"P:F.Lloyd, Skirball",SUniversal,bnw,Susp,H***,"national monuments, WY; statue of liberty, NY",Seen(20Sep1989) C(Valentine) VT(N:HT2),|
H38,Shadow of a Doubt,1943,Hitchcock,Skirball,SUniversal,bnw,Susp,,"San Rafael, CA; T(1938)","C(Valentine) W(Thornton Wilder) Seen(10Jul1991) M(Tiomkin, Previn, Strauss: Merry Widow Waltz) Nt(two of everything [Rohmer])",|
H39,Lifeboat,1943,Hitchcock,MacGowan,SFox,bnw,Susp,"H**, AAN dir",sea,"B(John Steinbeck; AAN) W(John Steinbeck, Jo Swerling) C(Glen MacWilliams; AAN) Seen(18Sep1989) VT(N:HT4)",|
H42,Spellbound,1945,Hitchcock,Selznick,"SSelznick, SD:U.A.",bnw,Susp,"H**, AAN, AAN dir","mental hospital, Vermont","M(Rozsa; AA) C(George~Barnes; AAN) W(Hecht) V(Salvador Dali) B(Francis Beeding: ``The House of Dr.Edwardees'')) Seen(3Dec1989), 15May90",|
H43,Notorious,1946,Hitchcock,Hitchcock,SRKO,bnw,Susp,H***,"RioDe Janeiro, Brazil","W(Ben Hecht; AAN) C(Tetzlaff) M(Roy Webb) Seen(20Jan1990, 30Jun1997)",|
H44,The Paradine Case,1947,Hitchcock,Selznick,"SSelznick, SD:U.A.",bnw,Susp,H**,"London, England B(Robert Hichens)",W(Selznick) C(Lee Garmes) M(Waxman),|
H45,Rope,1948,Hitchcock,"P:Bernstein, Hitchcock","STransatlantic, SD:Warners",\Tcol,Susp,H**,"penthouse, NYC, NY","M(Francis Poulenc: Mouvement Perpetuel) Nt(first color Hitchcock) Nt(all shot in long, 10 minute takes) C(William V. Skall, Valentine) Seen(25Nov1992)",|
H46,Under Capricorn,1949,Hitchcock,"P:Bernstein, Hitchcock","STransatlantic, MGM British, SD:Warners",\Tcol,Dram,,"Sidney, Australia","W(James Bridie, Hume Cronyn) B(Helen Simpson) C(Jack Cardiff, Ian Craig, David McNeilly) Seen(15May1990)",|
H47,Stage Fright,1950,Hitchcock,"P:Hitchcock, Ahern","SElstree, SD:Warners, SL:(\Ge, \GB)",ER(prc),Susp,,"theater, London, England","Nt(filmed in Eng,Ger) C(Wilkie Cooper) Alt(Die rote Lola; \Ge)",|
H48,Strangers on a Train,1951,Hitchcock,Hitchcock,SWarners,bnw,Susp,H***,"Washington, DC; NYC, NY; train; merry-go-round; csd","Seen(10Jun1989, 2Mar1998) C(Burks; AAN) M(Tiomkin) VT(N:HT8) Sy(crossings) B(Patricia Highsmith)",|
H49,I Confess,1952,Hitchcock,Hitchcock,SWarners,bnw,Susp,,"theater, Quebec City, Canada",M(:Dies Irae) C(Burks),|
H50,Dial M for Murder,1954,Hitchcock,Hitchcock,SWarners,\Wcol 3D,Susp,H**,"London, England",M(Tiomkin) C(Burks) Seen(3Dec1989),|
H51,Rear Window,1954,Hitchcock,Hitchcock,SParamount,\Tcol,Susp,"H***, AAN dir","town, East","B(Woolrich) C(Burks; AAN) W(J.M.Hayes; AAN) VT(N:HC3; HT8, inc)",|
H52,To Catch a Thief,1955,Hitchcock,Hitchcock,SParamount,\Tcol,Susp,aw,"Riviera, France",W(J.M.Hayes) C(Burks) B(David Dodge),|
H53,The Trouble with Harry,1956,Hitchcock,Hitchcock,SParamount,\Tcol,Susp,,"csd, Vt","Seen(1957), 1989 C(Burks) W(J.M.Hayes)",|
H57,The Man Who Knew Too Much,1956,Hitchcock,Hitchcock,SParamount,\Tcol,Susp,H*,"Indianapolis, IN; Morocco; Albert Hall, London","VT(N:HT3) C(Burks) M(Bernard Herrman; Jay Livingston, Ray Evans; AA)",|
H61,The Wrong Man,1957,Hitchcock,Hitchcock,SWarners,bnw,"Susp,Docu",,USA,"C(Burks) W(John Michael Hayes, Angus McPhail) B(Charles Bennett, D.R. WyndhamLewis)",|
H65,Vertigo,1958,Hitchcock,"P:Hitchcock, Robert Coleman",SParamount,"\Tcol, \Vistavision",Susp,H**,"Nob Hill, S.F., CA; restaurant, Ernie's, S.F., CA; SanJuanBattista, CA","M(Herrmann; ""Liebestod"") C(Burks) V(Henry Bumstead, Saul Bass ""titles"" ) VT(N:HC1)",|
H69,North by Northwest,1959,Hitchcock,Hitchcock,SMGM,\Tcol,Susp,H****,"train, Chicago, IL; plane (Northwest Airlines), US; prarie, IN; national monument, MT",W(Ernest Lehman; AAN) C(Burks),|
H73,Psycho,1960,Hitchcock,Hitchcock,"SShamley, Universal, SD:Paramount",bnw,Susp,"AAN Dir, NFR, Z*","Tucson, AZ; Victorian house, csd","M(Herrmann) R(PG) W(Joseph Stefano) B(Robert~Bloch) C(John L. Russell; AAN) V(Joseph Hurley, Robert Clatworthy; AAN) M(Beeethoven: Eroica) Cost(.8M) Inc(12M) VT(N:HT9, HC2;HT9)",|
H79,The Birds,1963,Hitchcock,Hitchcock,SUniversal,\Tcol,Susp,H***,"bird shop, S.F., CA; Bodega Bay, CA",W(Evan Hunter) B(Daphne duMaurier) C(Burks) M(Herrmann; sounds only) VT(N:HT5),|
H80,Marnie,1964,Hitchcock,Hitchcock,SUniversal,col,Susp,,"Philadelphia, PA","B(Winston Graham)Seen(1Sep1988),23Jan89 M(Herrmann) W(J.P. Allen) C(Burks) VT(N:HT9)",|
H81,Torn Curtain,1966,Hitchcock,Hitchcock,SUniversal,\Tcol,Susp,H**,East Germany,Seen(3Sep1988) M(John Addison) W(Brian Moore) C(John F. Warren) VT(N:HT7D),|
H82,Topaz,1969,Hitchcock,Hitchcock,SUniversal,\Tcol,Susp,H*,"Moscow, Russia; Denmark; Cuba; Paris, France",B(Leon Uris) W(Sam~Taylor) M(Maurice Jarre) R(PG) C(Jack Hildyard) VT(N:HT11),|
H83,Frenzy,1972,Hitchcock,Hitchcock,SPinewood,\Tcol,Susp,H*,"London, England",M(Ron Goodwin) C(Gil Taylor) R(R),|
H84,Family Plot,1976,Hitchcock,Hitchcock,SUniversal,col,Susp,,cemetary,W(E.Lehman) R(PG) C(Leonard J. South) B(Victor Canning),|
H40,Aventure Malgache,1944,Hitchcock,PN:Ministry of Inf.,SElstree,bnw,Advt,,,Le(short) Er(Elstree?),|
H41,Bon Voyage,1944,Hitchcock,PN:Ministry of Inf.,SElstree,bnw,Advt,,,Le(short) Nt(not released?) Er(Elstree?),|
H54,Revenge,1955,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,,TV(2Oct1955) Le(30m) W(F.Cockrell) B(Samuel Blas) M(Charles Gounod: Funeral March of the Marionette) VT(N:HQ2),|
H55,Breakdown,1955,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,"Atlantic City, NJ",TV(13Nov1955) Le(30m) Seen(28Dec1990) VT() W(Louis Pollock),|
H56,The Case of Mr.~Pelham,1955,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,,W(F.Cockrell) TV(4Dec1955) Le(30m) VT(N:HR2) Seen(10Dec1991) B(Anthony Armstrong),|
H58,Back For Christmas,1956,Hitchcock,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,"TV(4Mar1956) Le(30m) VT(N:HQ7,HQ10?,HR2) Seen(24Jun1991)",|
H59,Wet Saturday,1956,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,,"TV(30Sep1956) Le(30m) W(Mirian Cotrell) B(John Collier) Seen(5Dec1991) VT(N:HR1,HR2)",|
H60,Mr.~Blanchhard's Secret,1956,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,apartment,"TV(23Dec1956) Le(30m) Seen(1990) VT(N:HR1,HR2)",|
H62,One More Mile To Go,1957,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,"csd, CA","TV(7Apr1957) Le(30m) Seen(9Dec1991) B(F.J. Smith) W(James Cavanaugh) VT(N:HD1-13,HR1,HR2)",|
H63,Four O'Clock,1957,Hitchcock,Hitchcock,"SShamley, NBC","bnw,TV",Susp,,,Le(1h) TV(30Sep1957) Le(30m) B(Woolrich) W(F.Cockrell),|
H64,The Perfect Crime,1957,Hitchcock,"P:Hitchcock, J.Harrison","SShamley,CBS","bnw,TV",Susp,,"mansion with kiln, NYC, NY","TV(20Oct1957) Le(30m) W(Sterling Siliphant) VT(N:HR1,HP4,HR3) Seen(9Dec1991) B(Ben Ray Redman)",|
H66,Lamb To The Slaughter,1958,Hitchcock,Hitchcock,"SShamley,CBS","bnw,TV",Susp,,,B(Roald Dahl) TV(13Apr1958) Le(30m),|
H67,A Dip In The Pool,1958,Hitchcock,"P:Hitchcock,J.Harrison","SShamley,CBS","bnw,TV",Susp,,"ship, Atlantic","TV(1Jun1958) Le(30m) B(Roald Dahl) Seen(9Dec1991) VT(N:HR1,HR3)",|
H68,Poison,1958,Hitchcock,"P:Hitchcock,J.Harrison","SShamley,CBS","bnw,TV",Susp,,,TV(5Oct58) Le(30m) B(Roald Dahl) VT(N:HR2),|
H70,Banquo's Chair,1959,Hitchcock,"P:Hitchcock, J.Harrison","SShamley,CBS","bnw,TV",Susp,,,"TV(3May1959) Le(30m) Seen(5Dec1991) VT(N:HD2-2,HR1,HR2,HS1)",|
H71,Arthur,1959,Hitchcock,"P:Hitchcock, J.Harrison","SShamley,CBS","bnw,TV",Susp,,"chicken farm, NZ",TV(27Sep1959) Le(30m) Seen(9Dec1991) B(Arthur Willis) W(James Cavanaugh) VT(N:HR1),|
H72,The Crystal Trench,1959,Hitchcock,"P:Hitchcock, J.Harrison","SShamley,CBS","bnw,TV",Susp,,"glacier, Switzerland","TV(4Oct1959) Le(30m) Seen(Nov1988) VT(N:HR1,HR2) B(A.E.W. Mason) W(Siliphant)",|
H74,Incident At A Corner,1960,Hitchcock,"P:Hitchcock, J.Harrison","SShamley,NBC","bnw,TV",Susp,,,Le(1h) TV(5Apr1960),|
H75,Mrs.~Bixby And The Colonel's Coat,1960,Hitchcock,"P:Hitchcock, J.Harrison","SShamley, NBC","bnw,TV",Susp,,dentist's office,TV(27Sep1960) Le(30m) B(Roald Dahl) Seen(10Dec1991) VT(N:HR1),|
H76,The Horseplayer,1961,Hitchcock,"P:Hitchcock,J.Harrison","SShamley,CBS","bnw,TV",Susp,,"Church, town, USA",TV(14Mar1961) Le(30m) B(W(Henry Slesar)) Seen(10Dec1991) VT(N:HR1),|
H77,Bang! You're Dead,1961,Hitchcock,"P:Hitchcock,J.Harrison","SShamley,CBS","bnw,TV",Susp,,"suburb, USA",TV(17Oct1961) Le(30m) VT(N:HR2?1) Seen(8Dec1991),|
H78,I Saw The Whole Thing,1962,Hitchcock,"P:Hitchcock,J.Harrison","SShamley,CBS","bnw,TV",Susp,,,TV(11Oct1962) Le(1h),|
WKD10,The Edison Kinetopic Record of A Sneeze,1893,,Dickson,PN:Thomas A. Edison,SEdison,bws,Docu,aw,lc,,|
WKD50,"Terrible Teddy, the Grizzly King",1901,Dickson,PN:Thomas A. Edison,SEdison,bws,Comd,aw,lc,,|
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,1895,A.Lumiere,A.Lumiere,SLumiere,bws,,,"Paris, France",Le(1min) Seen([MO]) Nt(text only),|
ALu2,La Sortie des Usines Lumi\`ere,1895,A.Lumiere,PN:,SLumiere,sbw,Docu,,"Lyon, France",Le(30sec) Seen([MO]),|
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,1895,A.Lumiere,PN:,SLumiere,sbw,Docu,,"Ciatat, Frnace",Le(30sec) Seen([MO]),|
ALu4,Le Gouter de B\'eb\'e,1895,A.Lumiere,PN:,SLumiere,,,,,Le(30sec) Seen([MO]),|
ALu5,L'Arroseur arross\'e,1895,A.Lumiere,PN:,SLumiere,,Comd,,"graden, France",Le(30sec) Seen([MO]) (The Gardener),|
ALu6,Barque Quittant le Port,1895,A.Lumiere,PN:,SLumiere,,Docu,,,Le(30sec) Seen([MO]),|
ALu7,Boules,1895,A.Lumiere,PN:,SLumiere,,,,,Le(30sec) Seen([MO]),|
ALu30,L'assissinatat du Duc de Guise,1908,A.Lumiere,PN:,SLumiere,,Actn,,"Castle, France",Le(15min) Seen([MO]) M(SaintSaens: Danse Macabre),|
ESP9,Jack and the Beanstalk,1902,E.S.Porter,,SEdison,bws,Comd,,,C(E.S.Porter) Le(10min),|
ESP10,Uncle Tom's Cabin,1902,E.S.Porter,,SEdison,bws,Comd,,,C(E.S.Porter) Le(18min),|
ESP11,Life of an American Fireman,1903,E.S.Porter,,SEdison,bws,West,,,C(E.S.Porter) Le(7min),|
ESP12,The Great Train Robbery,1903,E.S.Porter,,SEdison,bws,West,H***,"train, West",C(E.S.Porter) W(E.S.Porter) Nt(first West) Le(11min),|
ESP16,The Little Train Robbery,1905,E.S.Porter,,SEdison,bws,,,"train, USA",Le(18min),|
ESP17,The Kleptomaniac,1905,E.S.Porter,,SEdison,bws,,,,Le(15min),|
ESP25,The Count of Monte Christo,1912,E.S.Porter,Zukor,SFamous,bws,Dram,,,C(E.S.Porter) Le(70min),|
ESP26,The Prisoner of Zenda,1912,E.S.Porter,Zukor,SFamous,bws,Dram,,,Cost(50K),|
ESP27,His Neighbor's Wife,1912,E.S.Porter,Zukor,SFamous,bws,Dram,,,Cost(50K),|
ESP28,Tess of the d'Ubervilles,1912,E.S.Porter,Zukor,SFamous,bws,Dram,,,Cost(50K),|
ESP30,An American Citizen,1913,E.S.Porter,Zukor,SFamous,bws,,,,,|
ESP31,A Good Little Devil,1913,E.S.Porter,Zukor,SFamous,bws,,,,,|
ESP32,In The Bishop's Carriage,1913,E.S.Porter,Zukor,SFamous,bws,,,,,|
ESP33,Caprice,1913,E.S.Porter,Zukor,SFamous,bws,,,,,|
ESP34,Hearts Adrift,1913,E.S.Porter,Zukor,SFamous,bws,,,,,|
ESP40,Tess of The Storm Country,1914,E.S.Porter,Zukor,SFamous,bws,Dram,,,B(Grace Miller White) W(E.S.Porter) Cost(13K) Inc(1M+),|
GMs1,L'Escamontage d'une Dame,1896,Melies,PN:,SL:\Fr,sbw,,,"chez Robert Houdin, Paris, France",Nt(first movie with actors) Alt(Une Partie de Cartes; later),|
GMs2,L'Homme orchestre,1900,Melies,PN:,SL:\Fr,sbw,,|
GMs4,Cinderella,1900,Melies,PN:,SL:\Fr,,Fant,|
GMs6,Le voyage dans la lune,1902,Melies,PN:,SL:\Fr,,ScFi,,space,Nt(first cartoon),|
GMs8,Danseuse Microscopique,1902,Melies,PN:,SL:\Fr,bws,ScFi,,studio,Nt(trick photographie),|
GMs12,An Impossible Voyage,1904,Melies,PN:,SL:\Fr,bws,Ctxx,,,,|
GMs20,L'Homme a la Tete en Caoutchouc,1906,Melies,PN:,SL:\Fr,bws,Fant,,,Seen(23Oct1990),|
WRB10,The Magic Sword or A Medieval Mystery,1891,Booth,PN:,SU:,sbw,Fant,,England,Seen(23Oct1990),|
CPa1,La Passion,1902,Pathe,Pathe,SPathe,,,,,Nt(first movie co.),|
CPa50,Les Mis\'erables,1909,Pathe,PN:,SU:,sbw,Dram,,"Paris, France",Nt(\#1) Le(4reels),|
WHa1,The Maniac's Guillotine,1902,Haggar,Haggar,SU:,bws,Horr,,,Le(short),|
WHa8,The Life of Charles Pierce,1905,Haggar,Haggar,SU:,bws,BioP,,,Le(short),|
WMc10,Kit Carson,1903,McCutcheon,PN:,SBiograph,bws,Advt,aw,lc,C(McCutcheon) Le(21m),|
ThE10,Parsifal,1904,Edison,PN:Edison,SEdison,bws,"Musc, BioP",,Nt(score distinct),|
JaC1,The Wagon Trails,1906,Cruze,PU:,SU:,col,Advt,,OR,Note(early Western),|
JaC7,Too Many Millions,1918,Cruze,PN:,SU:,prc,CTxx,aw,lc,,|
JaC10,The Covered Wagon,1923,Cruze,PN:,SU:,prc,West,aw,lc,,|
JaC12,Hollywood,1918,Cruze,PN:,SU:,prc,CTxx,aw,lc,,|
JaC15,Ruggles of Red Gap,1918,Cruze,PN:,SU:,prc,West,aw,lc,,|
JaC20,Beggars on Horseback,1925,Cruze,PN:,SU:,prc,West,aw,lc,,|
JaC23,Pony Express,1925,Cruze,PN:,SU:,prc,West,aw,lc,,|
JaC25,Old Ironsides,1926,Cruze,PN:,SU:,bws,Advt,aw,Atlantic coast; T(1790),,|
JaC33,Washington Merry Go Round,1932,Cruze,PN:,SU:,prc,CTxx,aw,lc,,|
JaC35,I Cover the Waterfront,1933,Cruze,PN:,SU:,prc,CTxx,aw,lc,,|
JaC40,Sutter's Gold,1936,Cruze,PN:,SU:,prc,CTxx,aw,lc,,|
GKS60,The Dead Man's Claim,1912,Spoor,Spoor,SEssanay,bws,West,,West Le(15min),|
LMi1,The Last Days of Pompeii,1908,Maggi,PN:,SL:Italy,bws,Hist,,"Pompeii, Italy",,|
LMi5,Nero and the Burning of Rome,1909,Maggi,PN:Arturo Ambrosio,SAmbrosio,bws,Hist,,"Rome, Italy",Le(16min),|
LMi23,Autumn Sunset Dream,1911,Maggi,PN:,SAmbrosio,bws,Dram,,,B(Gabrielle d'Annunzio),|
LMi25,The Ship with the Lions,1912,Maggi,PN:,SAmbrosio,bws,Dram,,Italy,,|
LMi35,The Lion of Venice,1914,Maggi,PN:,SAmbrosio,bws,Dram,,"Venice, Italy",B(P.G. Piatti),|
DWG02,At the French Ball,1908,Griffith,PN:,SU:,prc,Ctxx,aw,lc,Er(DWG:A only),|
DWG03,Calamitous Elopement,1908,Griffith,PN:,SU:,prc,Ctxx,aw,lc,Er(DWG:A only),|
DWG1,The Adventures of Dolly,1908,Griffith,PN:,SU:,prc,Ctxx,aw,lc,Le(750feet),,|
DWG3,For the Love of Gold,1908,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG5,The Call of the Wild,1908,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG6,Lines of White on a Sullen Sea,1908,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG7,The Sealed Room,1909,Griffith,PN:,SU:,prc,Dram,aw,lc,,|
DWG8,A Corner in Wheat,1909,Griffith,PN:,SU:,sbw,Dram,,MidWest,Le(15min) Seen([MO]),|
DWG9,The Lonely Villa,1909,Griffith,PN:,SU:,prc,Dram,aw,lc,,|
DWG10,The Life of Edgar Allen Poe,1909,Griffith,PN:,SU:,,BioP,,,,|
DWG11,The Curtain Pole,1909,Griffith,PN:,SU:,,Comd,,,C(Billy Bitzer) Le(11min)),|
DWG15,Song of the Wildwood Flute,1910,Griffith,PN:,SU:,bws,West,,,C(G.W. Bitzer) Le(12min),|
DWG16,Love Among the Roses,1910,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG25,The Lonedale Operator,1911,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG26,Paradise Lost,1911,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG27,Enoch Arden,1911,Griffith,PN:,SU:,prc,Dram,aw,lc,Le(short),|
DWG29,The Cowboy Doctor,1911,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG33,Man's Genesis,1912,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG35,The Musketeers of Pig Alley,1912,Griffith,PN:,SU:,prc,Ctxx,aw,lc,,|
DWG40,The Raven,1912,Griffith,PN:,SU:,,BioP,,,B(Edgar Allen Poe),Er(1909)|
DWG47,The New York Hat,1912,Griffith,PN:,SU:,prc,CTxx,,"NYC, NY",|
DWG49,The Battle at Elderbush Gulch,1913,Griffith,PN:,SBiograph,bws,West,,West,C(G.W. Bitzer) Le(13m),|
DWG50,Judith of Bethulia,1913,Griffith,PN:,SBiograph,bws,Dram,,,Le(60min),|
DWG51,The Clansman,1915,Griffith,PN:,SD.W.Griffith,bnw,Epic,"NFR, CC\#8",USA,Alt(The Birth of a Nation; 1916),|
